"season","min_minutes","dummy_penalty_ratio","n_players_inner","n_players_outer","inner_dummy_lambda","inner_no_dummy_lambda","inner_dummy_RMSE","inner_dummy_R2","inner_no_dummy_RMSE","inner_no_dummy_R2","neutral_inner_RMSE","outer_dummy_lambda","outer_no_dummy_lambda","outer_dummy_RMSE","outer_dummy_R2","outer_no_dummy_RMSE","outer_no_dummy_R2"
2018,0,0.25,475,509,6.70446175697687,6.70446175697687,12.4588535441132,0.159506021376385,12.4588535441132,0.159506021376385,12.4588535441132,5.69970632608715,5.69970632608715,12.6522008061149,0.170391035178487,12.6522008061149,0.170391035178487
2018,0,0.5,475,509,6.70446175697687,6.70446175697687,12.4588535441132,0.159506021376385,12.4588535441132,0.159506021376385,12.4588535441132,5.69970632608715,5.69970632608715,12.6522008061149,0.170391035178487,12.6522008061149,0.170391035178487
2018,0,1,475,509,6.70446175697687,6.70446175697687,12.4588535441132,0.159506021376385,12.4588535441132,0.159506021376385,12.4588535441132,5.69970632608715,5.69970632608715,12.6522008061149,0.170391035178487,12.6522008061149,0.170391035178487
2018,0,2,475,509,6.70446175697687,6.70446175697687,12.4588535441132,0.159506021376385,12.4588535441132,0.159506021376385,12.4588535441132,5.69970632608715,5.69970632608715,12.6522008061149,0.170391035178487,12.6522008061149,0.170391035178487
2018,5,0,437,465,6.56057881645001,6.70446175697687,12.6783098670306,0.129635499408064,12.4580044184958,0.159620584188379,12.5681571427632,5.58414350002993,5.69970632608715,13.3835584483129,0.0717082643496112,12.6452315048748,0.171304742202667
2018,5,0.1,437,465,6.7185633696983,6.70446175697687,12.5455387922653,0.147769485069638,12.4580044184958,0.159620584188379,12.5017716053806,6.1011675604736,5.69970632608715,12.6365814826599,0.172438099177145,12.6452315048748,0.171304742202667
2018,5,0.25,437,465,6.59197078790007,6.70446175697687,12.4926354587082,0.154941879117108,12.4580044184958,0.159620584188379,12.475319938602,6.15665085671329,5.69970632608715,12.635215220111,0.172617040880623,12.6452315048748,0.171304742202667
2018,5,0.5,437,465,6.62946777759235,6.70446175697687,12.4704677108156,0.15793827085203,12.4580044184958,0.159620584188379,12.4642360646557,6.18957412332673,5.69970632608715,12.6433921124308,0.171545810929934,12.6452315048748,0.171304742202667
2018,5,1,437,465,6.70446175697687,6.70446175697687,12.4612963302363,0.159176400629383,12.4580044184958,0.159620584188379,12.4596503743661,6.25542065655361,5.69970632608715,12.6530596520376,0.170278401736979,12.6452315048748,0.171304742202667
2018,5,2,437,465,6.85444971574593,6.70446175697687,12.458491906653,0.159554813939094,12.4580044184958,0.159620584188379,12.4582481625744,6.38711372300737,5.69970632608715,12.6603369996188,0.169323706343847,12.6452315048748,0.171304742202667
2018,10,0,375,401,6.63352161312086,7.35813850157752,12.4965831049767,0.154407721591813,12.4665139666444,0.158472135171509,12.4815485358105,5.2862046157008,6.25542065655361,12.7576737728061,0.15650158777698,12.6570568305299,0.16975409073603
2018,10,0.1,375,401,6.61427092575259,7.35813850157752,12.4462326618006,0.161208008270391,12.4665139666444,0.158472135171509,12.4563733142225,6.25175324072887,6.25542065655361,12.6053165616471,0.176528073940848,12.6570568305299,0.16975409073603
2018,10,0.25,375,401,6.73459504376713,7.35813850157752,12.453274328348,0.160258618279355,12.4665139666444,0.158472135171509,12.4598941474962,5.79850009804583,6.25542065655361,12.5806630556137,0.179746020458606,12.6570568305299,0.16975409073603
2018,10,0.5,375,401,6.61739082506809,7.35813850157752,12.4552471245416,0.159992540495026,12.4665139666444,0.158472135171509,12.460880545593,5.59495310183707,6.25542065655361,12.5736965789214,0.180654191685913,12.6570568305299,0.16975409073603
2018,10,1,375,401,7.35813850157752,7.35813850157752,12.4657690188213,0.158572704684732,12.4665139666444,0.158472135171509,12.4661414927328,5.69970632608715,6.25542065655361,12.5831237234961,0.179425120041516,12.6570568305299,0.16975409073603
2018,10,2,375,401,7.54925898213798,7.35813850157752,12.4651022565264,0.158662713891471,12.4665139666444,0.158472135171509,12.4658081115854,5.83838531212334,6.25542065655361,12.594404345485,0.177953189151849,12.6570568305299,0.16975409073603
2018,15,0,310,318,6.26758849725494,8.07554792180826,12.5646594078868,0.145169741833925,12.4927250956142,0.154929752185636,12.5286922517505,6.18910380685877,6.86531644820735,12.2700969274813,0.219743723043962,12.7564554815788,0.156662679472476
2018,15,0.1,310,318,7.05002067455859,8.07554792180826,12.5062297733148,0.153101717122705,12.4927250956142,0.154929752185636,12.4994774344645,6.68058081596994,6.86531644820735,12.456512679189,0.195855246020487,12.7564554815788,0.156662679472476
