"season","min_minutes","side","excluded_players","n_stints","possession_exposure"
2015,5,"Home",1,70,217
2015,5,"Home",2,3,19.5
2015,5,"Home",3,0,0
2015,5,"Home",4,0,0
2015,5,"Home",5,0,0
2015,5,"Away",0,17928,75712
2015,5,"Away",1,85,248.5
2015,5,"Away",2,6,18
2015,5,"Away",3,0,0
2015,5,"Away",4,0,0
2015,5,"Away",5,0,0
2015,10,"Home",0,17255,73040.5
2015,10,"Home",1,716,2749.5
2015,10,"Home",2,44,166.5
2015,10,"Home",3,4,22
2015,10,"Home",4,0,0
2015,10,"Home",5,0,0
2015,10,"Away",0,17240,73026.5
2015,10,"Away",1,718,2704.5
2015,10,"Away",2,55,236.5
2015,10,"Away",3,6,11
2015,10,"Away",4,0,0
2015,10,"Away",5,0,0
2015,15,"Home",0,14251,60637
2015,15,"Home",1,3219,13243
2015,15,"Home",2,466,1758
2015,15,"Home",3,69,275
2015,15,"Home",4,11,48.5
2015,15,"Home",5,3,17
2015,15,"Away",0,14019,59742
2015,15,"Away",1,3363,13660.5
2015,15,"Away",2,538,2214.5
2015,15,"Away",3,85,311.5
2015,15,"Away",4,14,50
2015,15,"Away",5,0,0
2015,20,"Home",0,5894,26650.5
2015,20,"Home",1,7329,30984.5
2015,20,"Home",2,3492,13327
2015,20,"Home",3,1135,4303
2015,20,"Home",4,159,669
2015,20,"Home",5,10,44.5
2015,20,"Away",0,5772,25798.5
2015,20,"Away",1,7490,31547
2015,20,"Away",2,3500,13703
2015,20,"Away",3,1056,4141.5
2015,20,"Away",4,189,748.5
2015,20,"Away",5,12,40
2015,25,"Home",0,629,2900
2015,25,"Home",1,4156,19537
2015,25,"Home",2,5953,25131.5
2015,25,"Home",3,4800,18806
2015,25,"Home",4,2114,8223.5
2015,25,"Home",5,367,1380.5
2015,25,"Away",0,727,3226
2015,25,"Away",1,4033,18762.5
2015,25,"Away",2,6022,25284
2015,25,"Away",3,4731,18777
2015,25,"Away",4,2066,8326
2015,25,"Away",5,440,1603
2015,30,"Home",0,12,53.5
2015,30,"Home",1,317,1593
2015,30,"Home",2,1503,7252
2015,30,"Home",3,3860,16624.5
2015,30,"Home",4,7937,33151
2015,30,"Home",5,4390,17304.5
2015,30,"Away",0,17,76.5
2015,30,"Away",1,271,1459.5
2015,30,"Away",2,1385,6532
2015,30,"Away",3,4058,17652
2015,30,"Away",4,7918,32849
2015,30,"Away",5,4370,17409.5
2016,0,"Home",0,18453,75795.5
2016,0,"Home",1,0,0
2016,0,"Home",2,0,0
2016,0,"Home",3,0,0
2016,0,"Home",4,0,0
2016,0,"Home",5,0,0
2016,0,"Away",0,18453,75795.5
2016,0,"Away",1,0,0
2016,0,"Away",2,0,0
2016,0,"Away",3,0,0
2016,0,"Away",4,0,0
2016,0,"Away",5,0,0
2016,5,"Home",0,18347,75419
2016,5,"Home",1,98,348
2016,5,"Home",2,8,28.5
2016,5,"Home",3,0,0
2016,5,"Home",4,0,0
2016,5,"Home",5,0,0
2016,5,"Away",0,18360,75483.5
2016,5,"Away",1,91,295
2016,5,"Away",2,2,17
2016,5,"Away",3,0,0
2016,5,"Away",4,0,0
2016,5,"Away",5,0,0
2016,10,"Home",0,17755,73255
2016,10,"Home",1,659,2408
2016,10,"Home",2,35,118.5
2016,10,"Home",3,4,14
2016,10,"Home",4,0,0
2016,10,"Home",5,0,0
2016,10,"Away",0,17591,72557
2016,10,"Away",1,808,3100.5
2016,10,"Away",2,46,119.5
2016,10,"Away",3,7,15.5
2016,10,"Away",4,1,3
2016,10,"Away",5,0,0
2016,15,"Home",0,13964,57959.5
2016,15,"Home",1,3867,15434
2016,15,"Home",2,510,1995.5
2016,15,"Home",3,83,295.5
2016,15,"Home",4,24,93
2016,15,"Home",5,5,18
2016,15,"Away",0,13250,55024
2016,15,"Away",1,4275,17135.5
2016,15,"Away",2,751,3060.5
2016,15,"Away",3,133,430
2016,15,"Away",4,32,119.5
2016,15,"Away",5,12,26
2016,20,"Home",0,6084,25636.5
2016,20,"Home",1,7723,32196
2016,20,"Home",2,3483,13607
2016,20,"Home",3,962,3582.5
2016,20,"Home",4,169,665.5
2016,20,"Home",5,32,108
2016,20,"Away",0,5841,24861
2016,20,"Away",1,7522,30775
2016,20,"Away",2,3724,14906
2016,20,"Away",3,1095,4255
2016,20,"Away",4,229,828.5
2016,20,"Away",5,42,170
2016,25,"Home",0,713,3352
2016,25,"Home",1,3526,14467
2016,25,"Home",2,6885,28900
2016,25,"Home",3,5403,21733
2016,25,"Home",4,1695,6438.5
2016,25,"Home",5,231,905
2016,25,"Away",0,695,3258
2016,25,"Away",1,3431,14202.5
2016,25,"Away",2,6595,27032
2016,25,"Away",3,5475,22582
2016,25,"Away",4,1900,7341
